Name,Role,type,coach_id
Jim Hanifan,Offensive Line,Employed,VermDi0
Ed Hughes,Offensive Assistant,Employed,VermDi0
Mike Martz,Offensive Coordinator,Employed,VermDi0
John Mazur,Defensive Coordinator,Employed,VermDi0
John Ralston,Offensive Coordinator,Employed,VermDi0
Rod Rust,Linebackers,Employed,VermDi0
Al Saunders,"Asst. Head Coach/Wide Receivers, Offensive Coordinator",Employed,VermDi0
Joe Vitt,Linebackers,Employed,VermDi0
Mike White,Offensive Assistant,Employed,VermDi0
Dennis Allen,Senior Offensive Assistant,Worked For,SaunAl0
Don Coryell,Wide Receivers,Worked For,SaunAl0
Joe Gibbs,Offensive Coordinator,Worked For,SaunAl0
John Harbaugh,Offensive Consultant,Worked For,SaunAl0
Hue Jackson,"Offensive Coordinator, Senior Offensive Assistant/Wide Receivers",Worked For,SaunAl0
Scott Linehan,Offensive Coordinator,Worked For,SaunAl0
Mike Martz,Asst. Head Coach/Wide Receivers,Worked For,SaunAl0
Joe Philbin,Senior Offensive Assistant,Worked For,SaunAl0
Marty Schottenheimer,Asst. Head Coach/Wide Receivers,Worked For,SaunAl0
Dick Vermeil,"Asst. Head Coach/Wide Receivers, Offensive Coordinator",Worked For,SaunAl0
Gunther Cunningham,Defensive Line,Employed,SaunAl0
Jim Mora,Defensive Assistant/Secondary,Employed,SaunAl0
Pete Carroll,Defensive Coordinator,Worked For,RobiGr0
Bruce Coslet,Defensive Line,Worked For,RobiGr0
Mike Shanahan,Defensive Coordinator,Worked For,RobiGr0
Dick Vermeil,Defensive Coordinator,Worked For,RobiGr0
Dennis Allen,Senior Defensive Asst.,Worked For,GiunPe0
Tom Coughlin,Secondary,Worked For,GiunPe0
Rich Kotite,Defensive Backs,Worked For,GiunPe0
Mike Martz,Defensive Coordinator,Worked For,GiunPe0
Sean Payton,Senior Defensive Asst.,Worked For,GiunPe0
Dick Vermeil,"Defensive Backs, Defensive Coordinator",Worked For,GiunPe0
Raymond Berry,Special Teams,Worked For,RoweKe0
Joe Bugel,Offensive Line,Worked For,RoweKe0
Gunther Cunningham,Tight Ends,Worked For,RoweKe0
Rod Dowhower,Offensive Line,Worked For,RoweKe0
Jerry Glanville,Tight Ends/OL,Worked For,RoweKe0
Dennis Green,"Offensive Coordinator, Offensive Line",Worked For,RoweKe0
Jon Gruden,Offensive Line,Worked For,RoweKe0
Ron Meyer,Offensive Line,Worked For,RoweKe0
Bobby Petrino,Tight Ends,Worked For,RoweKe0
Sam Rutigliano,Running Backs,Worked For,RoweKe0
Dick Vermeil,Tight Ends,Worked For,RoweKe0
Cam Cameron,Quarterbacks,Worked For,SheaTe0
Herm Edwards,Quarterbacks,Worked For,SheaTe0
Scott Linehan,Quarterbacks,Worked For,SheaTe0
Lovie Smith,Offensive Coordinator,Worked For,SheaTe0
Dick Vermeil,Quarterbacks,Worked For,SheaTe0
Pete Carroll,Offensive Line,Worked For,SolaMi0
Gunther Cunningham,Offensive Line,Worked For,SolaMi0
Herm Edwards,Offensive Coordinator,Worked For,SolaMi0
Jim Harbaugh,Offensive Line,Worked For,SolaMi0
Mike Holmgren,Offensive Line,Worked For,SolaMi0
Hank Kuhlmann,Offensive Line,Worked For,SolaMi0
Tom Landry,Assistant Offensive Line/ST,Worked For,SolaMi0
Ben McAdoo,Offensive Line,Worked For,SolaMi0
Mike McCarthy,"Assistant Offensive Line, Offensive Line",Worked For,SolaMi0
Jim Mora,Offensive Line,Worked For,SolaMi0
Marty Schottenheimer,Offensive Line,Worked For,SolaMi0
George Seifert,Tight Ends/AOL,Worked For,SolaMi0
Mike Singletary,Offensive Line,Worked For,SolaMi0
Gene Stallings,Offensive Line,Worked For,SolaMi0
Dick Vermeil,Offensive Line,Worked For,SolaMi0
Gunther Cunningham,Linebackers,Worked For,VittJo0
Adam Gase,"Consultant, Senior Def. Asst./OLB",Worked For,VittJo0
Chuck Knox,"Asst. Head Coach/DB, Quality Control/Asst. LB, Safeties",Worked For,VittJo0
Ted Marchibroda,Strength/Quality Control,Worked For,VittJo0
Mike Martz,"Asst. Head Coach/Linebackers, Interim Head Coach/Linebackers",Worked For,VittJo0
Mike McCormack,"Defensive Quality Control, Strength/Quality Control",Worked For,VittJo0
Jack Patera,Defensive Quality Control,Worked For,VittJo0
Sean Payton,"Assistant HC/Linebackers, Assistant Head Coach/Linebackers, Linebackers/Interim Head Coach, Senior Defensive Asst.",Worked For,VittJo0
Ray Rhodes,"Defensive Backs, Linebackers",Worked For,VittJo0
Dick Vermeil,Linebackers,Worked For,VittJo0
Aaron Kromer,Interim Head Coach/OL/RB,Employed,VittJo0
Sean Payton,Head Coach (Suspended for 2012 season),Employed,VittJo0
Steve Spagnuolo,Defensive Coordinator,Employed,VittJo0
Brian Callahan,Offensive Line,Worked For,CallBi0
Jason Garrett,"Offensive Coordinator, Offensive Coordinator/Offensive Line",Worked For,CallBi0
Jay Gruden,"Asst. HC/Offensive Line, Asst. HC/Offensive Line/Interim HC, Offensive Line",Worked For,CallBi0
Jon Gruden,"Offensive Coordinator/Offensive Line, Offensive Coordinator/Tight Ends",Worked For,CallBi0
Eric Mangini,Assistant Head Coach/Offensive Line,Worked For,CallBi0
Ray Rhodes,Offensive Line,Worked For,CallBi0
Rex Ryan,Assistant Head Coach,Worked For,CallBi0
Kevin Stefanski,Offensive Line,Worked For,CallBi0
Jim Harbaugh,Quarterbacks,Employed,CallBi0
Aaron Kromer,Offensive Line,Employed,CallBi0
Kevin O'Connell,Offensive Coordinator,Employed,CallBi0
Jim Tomsula,Defensive Line,Employed,CallBi0
Marc Trestman,Offensive Coordinator,Employed,CallBi0
Jerry Burns,"Quarterbacks, Running Backs",Worked For,TresMa0
Bill Callahan,Offensive Coordinator,Worked For,TresMa0
Bud Carson,Offensive Coordinator,Worked For,TresMa0
Bud Grant,Running Backs,Worked For,TresMa0
Jon Gruden,Quarterbacks,Worked For,TresMa0
Jim Harbaugh,Senior Offensive Asst.,Worked For,TresMa0
John Harbaugh,Offensive Coordinator,Worked For,TresMa0
Sean Payton,Consultant,Worked For,TresMa0
Ray Perkins,Quarterbacks,Worked For,TresMa0
Bobby Ross,Quarterbacks,Worked For,TresMa0
Marty Schottenheimer,Quarterbacks,Worked For,TresMa0
George Seifert,Offensive Coordinator,Worked For,TresMa0
Vince Tobin,Offensive Coordinator,Worked For,TresMa0
Dave Wannstedt,Assistant Head Coach,Worked For,TresMa0
Aaron Kromer,Offensive Coordinator,Employed,TresMa0
Mel Tucker,Defensive Coordinator,Employed,TresMa0
Bill Belichick,LB/QC,Worked For,BresCh0
Bill Callahan,Defensive Coordinator,Worked For,BresCh0
Jon Gruden,"Defensive Backs, Defensive Coordinator",Worked For,BresCh0
Lindy Infante,Linebackers,Worked For,BresCh0
Hue Jackson,Defensive Coordinator,Worked For,BresCh0
Marvin Lewis,"Defensive Assistant, Defensive Coordinator",Worked For,BresCh0
Bill Callahan,Quarterbacks,Worked For,HarbJi0
Vic Fangio,Defensive Coordinator,Employed,HarbJi0
Eric Mangini,"Sr. Offensive Consultant, Tight Ends",Employed,HarbJi0
Chris Palmer,Offensive Assistant,Employed,HarbJi0
Jim Tomsula,Defensive Line,Employed,HarbJi0
Marc Trestman,Senior Offensive Asst.,Employed,HarbJi0
Bill Callahan,Offensive Line,Worked For,KromAa0
Jon Gruden,"Asst. OL, Senior Assistant, Sr. Asst./OL",Worked For,KromAa0
Sean McDermott,Offensive Line,Worked For,KromAa0
Sean McVay,"Offensive Line, Offensive Line/RGC",Worked For,KromAa0
Sean Payton,"Interim Head Coach/OL/RB, OL/RB, Running Backs",Worked For,KromAa0
Rex Ryan,Offensive Line,Worked For,KromAa0
Marc Trestman,Offensive Coordinator,Worked For,KromAa0
Norv Turner,Offensive Line,Worked For,KromAa0
Sean Payton,Head Coach (Suspended for 2012 season),Employed,KromAa0
Steve Spagnuolo,Defensive Coordinator,Employed,KromAa0
Joe Vitt,Linebackers/Interim Head Coach,Employed,KromAa0
Bill Callahan,Defensive Backs,Worked For,LynnRo0
Pete Carroll,Defensive Backs,Worked For,LynnRo0
Don Coryell,Defensive Coordinator,Worked For,LynnRo0
Dennis Erickson,Defensive Backs,Worked For,LynnRo0
Jon Gruden,Defensive Backs,Worked For,LynnRo0
Dan Henning,Defensive Coordinator,Worked For,LynnRo0
Al Saunders,Defensive Coordinator,Worked For,LynnRo0
David Shula,Defensive Coordinator,Worked For,LynnRo0
Norv Turner,Defensive Coordinator,Worked For,LynnRo0
Todd Bowles,Offensive Coordinator,Worked For,MortJo0
Bill Callahan,Offensive Assistant,Worked For,MortJo0
Dan Campbell,Senior Offensive Asst.,Worked For,MortJo0
Jon Gruden,Senior Offensive Asst.,Worked For,MortJo0
Jim Harbaugh,Wide Receivers,Worked For,MortJo0
Sean Payton,"Offensive Assistant, Passing Game Coordinator, Wide Receivers",Worked For,MortJo0
Norv Turner,Offensive Assistant,Worked For,MortJo0
Bill Callahan,Linebackers,Worked For,PagaFr0
Brad Childress,"Defensive Coordinator, Linebackers",Worked For,PagaFr0
Leslie Frazier,"Defensive Coordinator, Linebackers",Worked For,PagaFr0
Jon Gruden,Linebackers,Worked For,PagaFr0
Vance Joseph,Outside Linebackers,Worked For,PagaFr0
Gary Kubiak,Outside Linebackers,Worked For,PagaFr0
Doug Marrone,Linebackers,Worked For,PagaFr0
Dick Vermeil,Linebackers,Worked For,PagaFr0
Bill Arnsparger,Linebackers Coach,Worked For,SchoMa0
Monte Clark,Linebackers Coach,Worked For,SchoMa0
John McVay,"Defensive Coordinator, Linebackers Coach",Worked For,SchoMa0
Sam Rutigliano,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,SchoMa0
Bruce Arians,Running Backs,Employed,SchoMa0
Tom Bettis,Defensive Coordinator,Employed,SchoMa0
Cam Cameron,Offensive Coordinator,Employed,SchoMa0
Rob Chudzinski,Tight Ends,Employed,SchoMa0
Bill Cowher,"Defensive Coordinator, Secondary, Special Teams",Employed,SchoMa0
Gunther Cunningham,Defensive Coordinator,Employed,SchoMa0
Tony Dungy,Defensive Backs,Employed,SchoMa0
Herm Edwards,"Defensive Backs, Scout",Employed,SchoMa0
Lindy Infante,Offensive Coordinator,Employed,SchoMa0
Hue Jackson,Running Backs,Employed,SchoMa0
Mike McCarthy,"Offensive Quality Control, Quarterbacks",Employed,SchoMa0
Wade Phillips,Defensive Coordinator,Employed,SchoMa0
Al Saunders,Asst. Head Coach/Wide Receivers,Employed,SchoMa0
Art Shell,Offensive Line,Employed,SchoMa0
Tony Sparano,Tight Ends,Employed,SchoMa0
Marc Trestman,Quarterbacks,Employed,SchoMa0
John Harbaugh,Offensive Coordinator,Worked For,CameCa0
Marty Schottenheimer,Offensive Coordinator,Worked For,CameCa0
Norv Turner,Quarterbacks,Worked For,CameCa0
Dom Capers,Defensive Coordinator,Employed,CameCa0
Mike Mularkey,Tight Ends,Employed,CameCa0
Terry Robiskie,Wide Receivers,Employed,CameCa0
Joe Gibbs,Linebackers,Worked For,LindDa0
Forrest Gregg,Linebackers,Worked For,LindDa0
Dick Jauron,Linebackers,Worked For,LindDa0
Bobby Ross,Linebackers,Worked For,LindDa0
Rod Rust,Defensive Line,Worked For,LindDa0
Marty Schottenheimer,Defensive Coordinator,Worked For,LindDa0
Nick Skorich,Linebackers,Worked For,LindDa0
Norv Turner,Linebackers,Worked For,LindDa0
Richard Williamson,Linebackers,Worked For,LindDa0
Dennis Allen,Offensive Coordinator,Worked For,CarmPe0
Chris Palmer,Tight Ends,Worked For,CarmPe0
Sean Payton,"Offensive Coordinator, Quarterbacks, Quarterbacks/Passing Game, Senior Offensive Asst.",Worked For,CarmPe0
Marty Schottenheimer,"Offensive Assistant, Quality Control",Worked For,CarmPe0
Bill Belichick,"Offensive Coordinator, Running Backs",Worked For,CrosSt0
Marion Campbell,Running Backs,Worked For,CrosSt0
Dan Henning,Running Backs,Worked For,CrosSt0
Ray Rhodes,Scout,Worked For,CrosSt0
Rod Rust,Special Teams,Worked For,CrosSt0
Marty Schottenheimer,"Running Backs, Special Teams",Worked For,CrosSt0
Don Shula,Special Teams,Worked For,CrosSt0
Norv Turner,Special Teams,Worked For,CrosSt0
Jay Gruden,"Defensive Coordinator, Outside Linebackers",Worked For,ManuGr0
Mike Nolan,Defensive Coordinator,Worked For,ManuGr0
Kevin O'Connell,Outside Linebackers,Worked For,ManuGr0
Chuck Pagano,Defensive Coordinator,Worked For,ManuGr0
Sean Payton,Inside Linebackers,Worked For,ManuGr0
Marty Schottenheimer,Linebackers,Worked For,ManuGr0
Mike Singletary,Defensive Coordinator,Worked For,ManuGr0
Norv Turner,Defensive Coordinator,Worked For,ManuGr0
Jack Del Rio,Assistant Head Coach/Defense,Worked For,PagaJo0
Mike Ditka,Defensive Assistant,Worked For,PagaJo0
Vic Fangio,Outside Linebackers,Worked For,PagaJo0
Mike McCoy,Defensive Coordinator,Worked For,PagaJo0
Jim Mora,Defensive Assistant,Worked For,PagaJo0
Bill O'Brien,Senior Defensive Assistant/OLB,Worked For,PagaJo0
Dan Quinn,Senior Defensive Asst.,Worked For,PagaJo0
Marty Schottenheimer,"Assistant LB Coach, Linebackers, Outside Linebackers, Quality Control",Worked For,PagaJo0
Norv Turner,"Defensive Coordinator, Linebackers",Worked For,PagaJo0
Rick Venturi,Defensive Assistant,Worked For,PagaJo0
Pete Carroll,Offensive Coordinator,Worked For,SchoBr0
Jeff Fisher,Offensive Coordinator,Worked For,SchoBr0
Eric Mangini,Offensive Coordinator,Worked For,SchoBr0
Mike McCarthy,"Consultant, Offensive Coordinator",Worked For,SchoBr0
Urban Meyer,Quarterbacks/PGC,Worked For,SchoBr0
Chuck Pagano,Quarterbacks,Worked For,SchoBr0
Rex Ryan,Offensive Coordinator,Worked For,SchoBr0
Marty Schottenheimer,"Assistant, Quarterbacks",Worked For,SchoBr0
Dick Vermeil,Assistant,Worked For,SchoBr0
Dave Campo,Running Backs,Worked For,ShelCl0
Dennis Erickson,Running Backs,Worked For,ShelCl0
Tom Flores,Running Backs,Worked For,ShelCl0
Chan Gailey,Running Backs,Worked For,ShelCl0
John Robinson,Running Backs,Worked For,ShelCl0
Marty Schottenheimer,Running Backs,Worked For,ShelCl0
Norv Turner,Offensive Coordinator,Worked For,ShelCl0
Rich Brooks,Wide Receivers,Worked For,MartMi0
Chuck Knox,"Offensive Assistant, Quarterbacks",Worked For,MartMi0
Rod Marinelli,Offensive Coordinator,Worked For,MartMi0
Mike Nolan,Offensive Coordinator,Worked For,MartMi0
Lovie Smith,Offensive Coordinator,Worked For,MartMi0
Norv Turner,Quarterbacks,Worked For,MartMi0
Dick Vermeil,Offensive Coordinator,Worked For,MartMi0
Perry Fewell,Secondary,Employed,MartMi0
Jim Hanifan,Offensive Line,Employed,MartMi0
Al Saunders,Asst. Head Coach/Wide Receivers,Employed,MartMi0
Lovie Smith,"Assistant Head Coach/Defensive Coordinator, Defensive Coordinator",Employed,MartMi0
Joe Vitt,"Asst. Head Coach/Linebackers, Interim Head Coach/Linebackers",Employed,MartMi0
Joe Bugel,Running Backs,Worked For,JackBo0
Cam Cameron,Running Backs,Worked For,JackBo0
Dan Henning,"Linebackers, Running Backs, Tight Ends",Worked For,JackBo0
Mike Martz,Offensive Coordinator,Worked For,JackBo0
Al Saunders,Running Backs,Worked For,JackBo0
Norv Turner,Running Backs,Worked For,JackBo0
David Culley,Defensive Coordinator,Worked For,SmitLo0
Tony Dungy,Linebackers,Worked For,SmitLo0
Mike Martz,"Assistant Head Coach/Defensive Coordinator, Defensive Coordinator",Worked For,SmitLo0
Perry Fewell,Defensive Backs,Employed,SmitLo0
Leslie Frazier,Defensive Coordinator,Employed,SmitLo0
Dirk Koetter,Offensive Coordinator,Employed,SmitLo0
Rod Marinelli,"Assistant Head Coach/Defensive Line, Defensive Coordinator/Asst. Head Coach",Employed,SmitLo0
Mike Martz,Offensive Coordinator,Employed,SmitLo0
Ron Rivera,Defensive Coordinator,Employed,SmitLo0
Chris Tabor,Asst. Special Teams,Employed,SmitLo0
Mike Tice,"Offensive Coordinator, Offensive Line",Employed,SmitLo0
Steve Wilks,Defensive Backs,Employed,SmitLo0
Marion Campbell,"Asst. HC/Offensive Line, Offensive Line/Interim HC",Worked For,HaniJi0
Don Coryell,"Asst. HC/Offensive Line, Offensive Line",Worked For,HaniJi0
Joe Gibbs,Offensive Line,Worked For,HaniJi0
Mike Martz,Offensive Line,Worked For,HaniJi0
Richie Petitbon,Offensive Line,Worked For,HaniJi0
Norv Turner,Offensive Line,Worked For,HaniJi0
Dick Vermeil,Offensive Line,Worked For,HaniJi0
Bud Wilkinson,Offensive Line,Worked For,HaniJi0
Tom Bettis,Defensive Coordinator,Employed,HaniJi0
Fred Bruney,Assistant Head Coach,Employed,HaniJi0
Rod Dowhower,Offensive Coordinator,Employed,HaniJi0
Harry Gilmer,Quarterbacks,Employed,HaniJi0
Jerry Smith,Special Teams,Employed,HaniJi0
Emmitt Thomas,TE/WR,Employed,HaniJi0
Dave Campo,Offensive Consultant,Worked For,ZampEr0
Pete Carroll,Offensive Coordinator,Worked For,ZampEr0
Don Coryell,"Offensive Coordinator, Quarterbacks/Passing Game Coordinator, Wide Receivers",Worked For,ZampEr0
Joe Gibbs,Offensive Consultant,Worked For,ZampEr0
Chuck Knox,Offensive Coordinator,Worked For,ZampEr0
Mike Martz,Offensive Consultant,Worked For,ZampEr0
Tommy Prothro,Secondary,Worked For,ZampEr0
John Robinson,Offensive Coordinator,Worked For,ZampEr0
Al Saunders,Offensive Coordinator,Worked For,ZampEr0
Barry Switzer,Offensive Coordinator,Worked For,ZampEr0
Hue Jackson,Quarterbacks,Worked For,ZampKe0
Marvin Lewis,"Offensive Coordinator, Quarterbacks Coach",Worked For,ZampKe0
Mike Martz,"Offensive Assistant, Passing Game Coordinator, Wide Receivers Coach",Worked For,ZampKe0
Raheem Morris,Senior Offensive Asst.,Worked For,ZampKe0
Ray Rhodes,Offensive Assistant,Worked For,ZampKe0
Ron Rivera,"Quarterbacks, Senior Off. Advisor/Game Management",Worked For,ZampKe0
Chan Gailey,"Assistant Head Coach/Linebackers, Defensive Coordinator",Worked For,WannDa0
Jimmy Johnson,Defensive Coordinator,Worked For,WannDa0
Greg Schiano,Special Teams,Worked For,WannDa0
Jim Bates,"Defensive Coordinator, Defensive Coordinator/Interim HC",Employed,WannDa0
Chan Gailey,Offensive Coordinator,Employed,WannDa0
Dave McGinnis,Linebackers,Employed,WannDa0
Ron Rivera,Defensive Quality Control,Employed,WannDa0
Greg Schiano,"Defensive Assistant, Secondary",Employed,WannDa0
Eric Studesville,Offensive Quality Control,Employed,WannDa0
Marc Trestman,Assistant Head Coach,Employed,WannDa0
Norv Turner,Offensive Coordinator,Employed,WannDa0
Rob Chudzinski,Offensive Coordinator,Worked For,TurnNo0
Jimmy Johnson,Offensive Coordinator/QBs,Worked For,TurnNo0
Mike Nolan,Offensive Coordinator,Worked For,TurnNo0
Mike Riley,Offensive Coordinator,Worked For,TurnNo0
Ron Rivera,Offensive Coordinator,Worked For,TurnNo0
John Robinson,"Tight Ends, Wide Receivers/Tight Ends",Worked For,TurnNo0
Dave Wannstedt,Offensive Coordinator,Worked For,TurnNo0
Mike Zimmer,Offensive Coordinator,Worked For,TurnNo0
Rich Bisaccia,"Asst. Head Coach/Special Teams, Special Teams Coordinator",Employed,TurnNo0
Cam Cameron,Quarterbacks,Employed,TurnNo0
Rob Chudzinski,Tight Ends/Assistant HC,Employed,TurnNo0
Jim Hanifan,Offensive Line,Employed,TurnNo0
Aaron Kromer,Offensive Line,Employed,TurnNo0
Mike Martz,Quarterbacks,Employed,TurnNo0
Mike Nolan,Defensive Coordinator,Employed,TurnNo0
Chuck Pagano,Secondary,Employed,TurnNo0
Ray Rhodes,Defensive Coordinator,Employed,TurnNo0
Ron Rivera,"Defensive Coordinator, Linebackers",Employed,TurnNo0
Terry Robiskie,"Passing Game Coordinator, Passing Game Coordinator/Interim HC, Wide Receivers",Employed,TurnNo0
Shane Steichen,Defensive Assistant,Employed,TurnNo0
Emmitt Thomas,Secondary,Employed,TurnNo0
Steve Wilks,Defensive Backs,Employed,TurnNo0
Bill Belichick,"Defensive Backs, Defensive Line",Worked For,BateJi0
Chan Gailey,Defensive Line,Worked For,BateJi0
June Jones,Defensive Coordinator,Worked For,BateJi0
Raheem Morris,Defensive Coordinator,Worked For,BateJi0
Mike Shanahan,Asst. Head Coach/Defense,Worked For,BateJi0
Mike Sherman,Defensive Coordinator,Worked For,BateJi0
Barry Switzer,Linebackers,Worked For,BateJi0
Dave Wannstedt,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,BateJi0
Marc Trestman,Assistant Head Coach,Employed,BateJi0
Dennis Allen,Linebackers,Worked For,SandBo0
Bruce Arians,Linebackers,Worked For,SandBo0
Todd Bowles,Outside Linebackers,Worked For,SandBo0
Chan Gailey,"Linebackers, Outside Linebackers",Worked For,SandBo0
Dick Jauron,Defensive Line,Worked For,SandBo0
Mike McCarthy,Defensive Coordinator,Worked For,SandBo0
Mike Sherman,Defensive Ends,Worked For,SandBo0
Dave Wannstedt,Linebackers,Worked For,SandBo0
Jack Del Rio,Quarterbacks,Worked For,ShulMi0
Tony Dungy,Offensive Coordinator,Worked For,ShulMi0
Vic Fangio,Quarterbacks,Worked For,ShulMi0
Sean McDermott,Senior Offensive Asst.,Worked For,ShulMi0
Ray Perkins,"Offensive Assistant, Quarterbacks",Worked For,ShulMi0
Ron Rivera,"Offensive Coordinator, Quarterbacks",Worked For,ShulMi0
Don Shula,Assistant,Worked For,ShulMi0
Pat Shurmur,Offensive Coordinator/Quarterbacks,Worked For,ShulMi0
Dave Wannstedt,"Quarterbacks, Tight Ends",Worked For,ShulMi0
Richard Williamson,Quarterbacks,Worked For,ShulMi0
Jack Del Rio,"Assistant Head Coach/Offense, Assistant Head Coach/Tight Ends, Offensive Line",Worked For,TiceMi0
Dennis Green,"Interim Head Coach/Offensive Line, Offensive Line, Tight Ends",Worked For,TiceMi0
Lovie Smith,"Offensive Coordinator, Offensive Line",Worked For,TiceMi0
Mike Smith,Offensive Line,Worked For,TiceMi0
Scott Linehan,Offensive Coordinator/QBs,Employed,TiceMi0
Emmitt Thomas,Defensive Coordinator,Employed,TiceMi0
Jason Garrett,"Offensive Coordinator, Passing Game Coordinator",Worked For,LineSc0
Nick Saban,Offensive Coordinator,Worked For,LineSc0
Jim Schwartz,Offensive Coordinator,Worked For,LineSc0
Mike Tice,Offensive Coordinator/QBs,Worked For,LineSc0
Jim Haslett,"Defensive Coordinator, Interim HC/Defensive Coordinator",Employed,LineSc0
Al Saunders,Offensive Coordinator,Employed,LineSc0
Rick Venturi,"Defensive Coordinator, Linebackers/AHC",Employed,LineSc0
Rich Brooks,Defensive Coordinator,Worked For,ShawWi0
Gunther Cunningham,Assistant Head Coach/DB,Worked For,ShawWi0
Mike Ditka,Defensive Backs,Worked For,ShawWi0
Dennis Green,"Assistant Head Coach/DB, Defensive Backs",Worked For,ShawWi0
Jon Gruden,Defensive Coordinator,Worked For,ShawWi0
Darryl Rogers,Defensive Backs,Worked For,ShawWi0
Bobby Ross,Defensive Backs,Worked For,ShawWi0
Mike Tice,"Assistant Head Coach/DB, Defensive Coordinator",Worked For,ShawWi0
Joe Bugel,Assistant Offensive Line,Worked For,LoneSt0
Jason Garrett,"Assistant Offensive Line, Tight Ends",Worked For,LoneSt0
Dennis Green,Offensive Line,Worked For,LoneSt0
Scott Linehan,Offensive Line,Worked For,LoneSt0
Greg Schiano,Assistant Offensive Line,Worked For,LoneSt0
Steve Spagnuolo,Offensive Line,Worked For,LoneSt0
Mike Tice,"Offensive Coordinator, Offensive Coordinator/OL, Offensive Line",Worked For,LoneSt0
Bobby Ross,Defensive Line,Worked For,O'LeGe0
Mike Tice,"Assistant Head Coach/DL, Defensive Coordinator",Worked For,O'LeGe0
Dennis Green,"Offensive Coordinator, Quarterbacks",Worked For,WoodAl0
Marvin Lewis,Wide Receivers,Worked For,WoodAl0
Mike Tice,Quarterbacks,Worked For,WoodAl0
Rick Forzano,Asst. Special Teams,Worked For,BeliBi0
Tommy Hudspeth,"Asst. Special Teams, Receivers",Worked For,BeliBi0
Ted Marchibroda,Special Assistant,Worked For,BeliBi0
Red Miller,Defensive Assistant/Asst. Special Teams,Worked For,BeliBi0
Bill Parcells,"Asst. Head Coach/Defensive Backs, Asst. Head Coach/Defensive Coordinator, Defensive Coordinator, Linebackers/Special Teams",Worked For,BeliBi0
Ray Perkins,"Defensive Assistant/Special Teams, Linebackers/Special Teams",Worked For,BeliBi0
Jim Bates,"Defensive Backs, Defensive Line",Employed,BeliBi0
Romeo Crennel,"Defensive Coordinator, Defensive Coordinator/Defensive Line",Employed,BeliBi0
Brian Daboll,"Assistant Coach, Defensive Assistant, Tight Ends, Wide Receivers",Employed,BeliBi0
Rod Dowhower,Quarterbacks,Employed,BeliBi0
Brian Flores,"Asst. Offense/Special Teams Coach, Defensive Assistant, Linebackers, Pro Scout, Safeties, Scouting Assistant, Special Teams Assistant",Employed,BeliBi0
Al Groh,Linebackers,Employed,BeliBi0
Hal Hunter,Offensive Line,Employed,BeliBi0
Joe Judge,"Offensive Assistant, Quarterbacks/Offensive Assistant, Special Teams Assistant, Special Teams Coordinator, Special Teams Coordinator/Wide Receivers",Employed,BeliBi0
Eric Mangini,"Coaches Assistant, Defensive Backs, Defensive Coordinator",Employed,BeliBi0
Jerod Mayo,"Inside Linebackers, Linebackers",Employed,BeliBi0
Josh McDaniels,"Defensive Assistant, Offensive Coordinator, Offensive Coordinator/Quarterbacks, Personnel Assistant, Quarterbacks",Employed,BeliBi0
Bill O'Brien,"Offensive Assistant, Offensive Coordinator, Offensive Coordinator/Quarterbacks, Quarterbacks, Wide Receivers",Employed,BeliBi0
Matt Patricia,"Asst. Head Coach, Asst. Offensive Line, Defensive Coordinator, Linebackers, Offensive Assistant, Offensive Line/Senior Advisor, Safeties",Employed,BeliBi0
Nick Saban,Defensive Coordinator,Employed,BeliBi0
Jim Schwartz,Personnel Scout,Employed,BeliBi0
Rick Venturi,Defensive Coordinator,Employed,BeliBi0
Bill Belichick,Offensive Coordinator,Worked For,WeisCh0
Todd Haley,Offensive Coordinator,Worked For,WeisCh0
Ray Handley,Running Backs,Worked For,WeisCh0
Bill Parcells,"Assistant, Offensive Coordinator, Running Backs, Tight Ends, Wide Receivers",Worked For,WeisCh0
Bill Belichick,"Defensive Coordinator, Defensive Coordinator/Defensive Line",Worked For,CrenRo0
David Culley,Senior Advisor,Worked For,CrenRo0
Todd Haley,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,CrenRo0
Ray Handley,Defensive Line,Worked For,CrenRo0
Bill O'Brien,"Asst. Head Coach, Asst. Head Coach/Defensive Coordinator, Asst. Head Coach/Interim Head Coach, Defensive Coordinator",Worked For,CrenRo0
Chris Palmer,Defensive Coordinator/Defensive Line,Worked For,CrenRo0
Bill Parcells,"Defensive Line, Special Teams",Worked For,CrenRo0
Ray Perkins,Special Teams/Defensive Assistant,Worked For,CrenRo0
Rob Chudzinski,Offensive Coordinator,Employed,CrenRo0
Brian Daboll,Offensive Coordinator,Employed,CrenRo0
Anthony Lynn,Running Backs,Employed,CrenRo0
Terry Robiskie,Wide Receivers,Employed,CrenRo0
Jerry Rosburg,Special Teams Coordinator,Employed,CrenRo0
Nick Sirianni,"Offensive Quality Control, Wide Receivers",Employed,CrenRo0
Emmitt Thomas,Defensive Backs,Employed,CrenRo0
Mel Tucker,"Defensive Backs, Defensive Coordinator",Employed,CrenRo0
Jim Zorn,Quarterbacks,Employed,CrenRo0
Bill Belichick,"Assistant Coach, Defensive Assistant, Tight Ends, Wide Receivers",Worked For,DaboBr0
